PUBCHEM_CID,y_prob_meta,y_pred_meta_0,y_prob_margin
5459711,0.21961072,0.78038928,0.5607785599999999
648222,0.5484195,0.4515805,0.09683899999999995
3240323,0.4829764,0.5170236,0.034047200000000055
5475291,0.22476926,0.77523074,0.5504614800000001
746147,0.4046441,0.5953558999999999,0.19071179999999993
9585235,0.4650507,0.5349493000000001,0.06989860000000009
2192587,0.4166085,0.5833915000000001,0.16678300000000007
790561,0.61046064,0.38953936,0.22092128
1328059,0.6467632,0.3532368,0.29352639999999997
2983841,0.4520674,0.5479326,0.09586519999999998
2189210,0.5057975,0.4942025,0.011595000000000022
2187558,0.13569532,0.86430468,0.7286093600000001
890213,0.32642013,0.67357987,0.34715974
1290134,0.27296418,0.72703582,0.45407164
1281095,0.3081433,0.6918567,0.3837134
135497928,0.62810814,0.3718918599999999,0.25621628000000013
135477972,0.6263696,0.3736304,0.2527392
628864,0.64538443,0.35461557,0.29076886
1380424,0.48474765,0.51525235,0.03050470000000005
3774420,0.30459616,0.69540384,0.39080768
5921555,0.15092064,0.84907936,0.6981587199999999
5806576,0.2727499,0.7272501,0.4545002
6374709,0.2892017,0.7107983,0.4215966
1308940,0.2738471,0.7261529,0.4523058
2930652,0.60977316,0.3902268399999999,0.21954632000000013
3135557,0.55187094,0.4481290599999999,0.10374188000000012
135403131,0.5261325,0.4738675,0.052265000000000006
2931982,0.6118329,0.3881671,0.22366580000000003
3422200,0.30385232,0.6961476799999999,0.3922953599999999
5856349,0.20565379,0.79434621,0.5886924200000001
